asset_id,parent_asset_id,asset_type,asset_name,operational_status,voltage_kv,rating_kva,manufacturer,model,serial_number,commissioned_date
SS-HIER-1,,SUBSTATION,Hierarchy Root,IN_SERVICE,33,,,,SUB-HIER1,1/1/2020
SS-HIER-BADPARENT,SS-HIER-1,SUBSTATION,Substation With A Parent,IN_SERVICE,33,,,,SUB-HIER2,1/1/2020
TX-HIER-NOPARENT,,TRANSFORMER,Transformer With No Parent,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-HIER1,1/1/2020
TX-HIER-SELF,TX-HIER-SELF,TRANSFORMER,Self Parented Transformer,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-HIER2,1/1/2020
TX-HIER-GHOST,SS-GHOST-999,TRANSFORMER,Parent Does Not Exist,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-HIER3,1/1/2020
LVB-HIER-1,SS-HIER-1,LV_BOARD,Valid LV Board,IN_SERVICE,0.4,,Helios Gridworks,LVB-400,SN-HIER4,1/1/2020
TX-HIER-WRONGPARENT,LVB-HIER-1,TRANSFORMER,Wrong Parent Type Under LV Board,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-HIER5,1/1/2020
SWBP-HIER-WRONGPARENT,SS-HIER-1,SWITCHBOARD_PANEL,Panel Directly Under Substation,IN_SERVICE,11,,Helios Gridworks,SWBP-11,SN-HIER6,1/1/2020
SWB-CY-A,SWB-CY-B,SWITCHBOARD,Two Node Cycle A,IN_SERVICE,11,,Helios Gridworks,SWB-11,SN-CY1,1/1/2020
SWB-CY-B,SWB-CY-A,SWITCHBOARD,Two Node Cycle B,IN_SERVICE,11,,Helios Gridworks,SWB-11,SN-CY2,1/1/2020
SWB-CY3-X,SWB-CY3-Z,SWITCHBOARD,Three Node Cycle X,IN_SERVICE,11,,Helios Gridworks,SWB-11,SN-CY3,1/1/2020
SWB-CY3-Y,SWB-CY3-X,SWITCHBOARD,Three Node Cycle Y,IN_SERVICE,11,,Helios Gridworks,SWB-11,SN-CY4,1/1/2020
SWB-CY3-Z,SWB-CY3-Y,SWITCHBOARD,Three Node Cycle Z,IN_SERVICE,11,,Helios Gridworks,SWB-11,SN-CY5,1/1/2020
SS-CAS-BADSTATUS,,SUBSTATION,Rejected Root Bad Status,BOGUS_STATUS,33,,,,SUB-CAS-BAD,1/1/2020
SWB-CAS-CHILD,SS-CAS-BADSTATUS,SWITCHBOARD,Cascaded Rejected Child,IN_SERVICE,11,,Helios Gridworks,SWB-11,SN-CAS1,1/1/2020
SWBP-CAS-GRANDCHILD,SWB-CAS-CHILD,SWITCHBOARD_PANEL,Cascaded Rejected Grandchild,IN_SERVICE,11,,Helios Gridworks,SWBP-11,SN-CAS2,1/1/2020
