asset_id,parent_asset_id,asset_type,asset_name,operational_status,voltage_kv,rating_kva,manufacturer,model,serial_number,commissioned_date
SS-NUM-1,,SUBSTATION,Numeric Test Substation,IN_SERVICE,33,,,,SUB-NUM1,2020-01-15
TX-NUM-BADVOLT,SS-NUM-1,TRANSFORMER,Bad Voltage Text,IN_SERVICE,abc,500,Arcwell Industries,TXR-500,SN-NUM1,1/1/2020
TX-NUM-BADRATING,SS-NUM-1,TRANSFORMER,Bad Rating Text,IN_SERVICE,11,N/A,Arcwell Industries,TXR-500,SN-NUM2,1/1/2020
TX-NUM-NEGRATING,SS-NUM-1,TRANSFORMER,Negative Rating,IN_SERVICE,11,-500,Arcwell Industries,TXR-500,SN-NUM3,1/1/2020
TX-NUM-IMPOSSIBLEDATE,SS-NUM-1,TRANSFORMER,Impossible Date Feb 31,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-NUM4,31/2/2020
TX-NUM-GARBAGEDATE,SS-NUM-1,TRANSFORMER,Garbage Date Text,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-NUM5,not-a-date
TX-NUM-PIVOT-OLD,SS-NUM-1,TRANSFORMER,Two Digit Year 99 Should Be 1999,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-NUM6,5/6/99
TX-NUM-PIVOT-NEW,SS-NUM-1,TRANSFORMER,Two Digit Year 05 Should Be 2005,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-NUM7,5/6/05
TX-NUM-ISO,SS-NUM-1,TRANSFORMER,ISO Format Date,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-NUM8,2020-06-05
TX-NUM-DAYFIRST,SS-NUM-1,TRANSFORMER,Day First 25th Day Over Twelve,IN_SERVICE,11,500,Arcwell Industries,TXR-500,SN-NUM9,25/3/2020
TX-NUM-ZERORATING,SS-NUM-1,TRANSFORMER,Zero Rating Should Be OK,IN_SERVICE,11,0,Arcwell Industries,TXR-500,SN-NUM10,1/1/2020
